Event ID,Condition,Agent,Reporting Agency,Affected Population,City,Event Start Date,Event End Date,Outcome,Cost of Damages ($)
5803.0,Dancing Plague,Funky Dance Bacteria,Banana Safety Commission,24659.0,San Francisco,2018-07-20,2022-05-01,Developed Superpowers,1553636.09
7569.0,Banana Peel Slip Epidemic,Banana Peels,Banana Safety Commission,7889.0,Miami,2021-01-02,2022-04-05,Mutated,861995.87
2050.0,Chocolate Poisoning,Tickling Bacteria,FBI,26246.0,New York,,2021-12-26,Mutated,1262906.51
9318.0,Banana Peel Slip Epidemic,Radioactive Cheese,Banana Safety Commission,38507.0,New York,2016-02-26,2022-06-13,Banished to Space,100120.39
7278.0,Chocolate Poisoning,Banana Peels,,42810.0,,2019-06-17,2022-06-04,Quarantined,1276316.64
2652.0,Tickling Fever,Invisible Dog Virus,NASA,38234.0,San Francisco,2017-06-20,2021-11-22,Turned Into Zombie,198923.97
9199.0,,,NASA,10325.0,Austin,2020-08-16,2022-07-17,Turned Into Zombie,1429467.47
5708.0,Mobile Phone Radiation Syndrome,Mutant Chocolate Strain,Banana Safety Commission,38201.0,Chicago,2017-07-21,2022-02-20,Lost Sense of Humor,1149807.7
6318.0,Radioactive Cheese Contamination,Invisible Dog Virus,World Dance Federation,34223.0,Austin,2021-06-22,2021-10-04,Cured,
6859.0,Invisible Dog Bites,Funky Dance Bacteria,Intergalactic Health Organization,14499.0,Boston,2018-12-31,2021-11-05,Developed Superpowers,744825.79
7615.0,Tickling Fever,Mutant Chocolate Strain,World Dance Federation,28314.0,Boston,2021-02-28,2022-01-26,Recovered with Allergies,184732.71
9370.0,Mobile Phone Radiation Syndrome,Alien Spores,World Dance Federation,43662.0,San Francisco,2021-01-28,2022-03-01,Became Infected,648963.0
7593.0,Invisible Dog Bites,,FBI,16010.0,New York,2021-07-28,2022-06-02,Cured,1933851.61
4595.0,Chocolate Poisoning,Wheat Molecule Mutation,National Cheese Board,4588.0,Miami,2019-02-03,2022-07-20,Quarantined,
5910.0,Alien Flu,Tickling Bacteria,PAHO,28759.0,New York,,2022-04-29,Quarantined,951110.64
,Zombie Virus Outbreak,Wheat Molecule Mutation,Intergalactic Health Organization,2189.0,New York,,2022-02-06,Cured,1260311.43
5453.0,Dancing Plague,Cellular Rays,World Dance Federation,35496.0,Boston,2021-07-03,,Cured,
3423.0,Radioactive Cheese Contamination,Zombie Virus,WHO,36612.0,New York,2017-08-20,2022-04-14,Became Infected,714240.65
9108.0,Tickling Fever,Alien Spores,National Cheese Board,19153.0,New York,2018-02-18,2022-06-12,Became Infected,283345.54
5797.0,Invisible Dog Bites,Invisible Dog Virus,PAHO,47254.0,San Francisco,,2022-02-24,Became Infected,1262478.9
7981.0,Radioactive Cheese Contamination,Funky Dance Bacteria,,,Miami,2018-09-01,2022-06-23,Developed Superpowers,1499100.23
,Invisible Dog Bites,Zombie Virus,Banana Safety Commission,37420.0,Chicago,2017-07-18,2022-07-17,Cured,1846589.79
7681.0,Mobile Phone Radiation Syndrome,Mutant Chocolate Strain,Banana Safety Commission,10468.0,Miami,2016-06-17,2022-03-20,Quarantined,11012.64
5877.0,Tickling Fever,Alien Spores,PAHO,45033.0,Boston,2017-08-12,2022-02-25,Still Dancing,137987.52
5177.0,Alien Flu,,WHO,37268.0,Boston,2018-01-11,2022-02-24,Still Dancing,1799314.3
4429.0,Gluten Intolerance Pandemic,,NASA,30649.0,New York,2018-11-19,2022-06-21,,1264155.3
1184.0,Gluten Intolerance Pandemic,Wheat Molecule Mutation,WHO,11610.0,Boston,2016-02-26,2022-01-02,Quarantined,1916031.0
4133.0,Zombie Virus Outbreak,Tickling Bacteria,FBI,20391.0,Austin,,2022-04-03,Quarantined,864534.97
5978.0,Invisible Dog Bites,Banana Peels,PAHO,13896.0,Chicago,2017-01-22,2022-06-13,Became Infected,836290.9
9698.0,Chocolate Poisoning,Banana Peels,World Dance Federation,6119.0,Austin,2017-04-21,2022-04-28,Developed Superpowers,691807.84
7137.0,,,FBI,8729.0,Austin,2014-09-08,2021-10-02,Banished to Space,289923.75
2932.0,Alien Flu,Wheat Molecule Mutation,FBI,13343.0,Austin,2020-06-01,2022-03-15,Cured,760372.65
7174.0,Zombie Virus Outbreak,Zombie Virus,National Cheese Board,33096.0,San Francisco,2016-08-20,2022-04-22,,34223.84
6412.0,Chocolate Poisoning,Radioactive Cheese,PAHO,35409.0,San Francisco,2018-12-13,2022-03-26,Recovered with Allergies,1021080.0
2196.0,Banana Peel Slip Epidemic,Tickling Bacteria,National Cheese Board,27604.0,Chicago,2020-01-08,2021-10-26,Developed Superpowers,1695184.36
6247.0,Alien Flu,Tickling Bacteria,,33172.0,Austin,2017-11-29,2021-10-28,Lost Sense of Humor,645787.52
5181.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,PAHO,48496.0,Chicago,2019-07-07,2022-02-03,Became Infected,193807.11
2338.0,Radioactive Cheese Contamination,Alien Spores,National Cheese Board,18676.0,New York,2019-09-23,2022-01-12,Developed Superpowers,
7171.0,Zombie Virus Outbreak,Cellular Rays,Intergalactic Health Organization,,Chicago,2015-06-21,,Quarantined,262310.33
3620.0,,Invisible Dog Virus,PAHO,39054.0,Miami,2015-09-03,2022-01-14,Recovered with Allergies,1059751.51
7546.0,Radioactive Cheese Contamination,Radioactive Cheese,NASA,33375.0,Miami,2020-10-11,2022-03-28,Still Dancing,1619325.45
9874.0,Alien Flu,Mutant Chocolate Strain,PAHO,46156.0,Austin,2020-09-19,2022-01-09,Developed Superpowers,508428.69
6931.0,,Tickling Bacteria,Banana Safety Commission,3536.0,Miami,2020-11-03,2022-06-18,Became Infected,1683771.63
2729.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,PAHO,16595.0,Boston,2020-04-10,2022-02-28,Turned Into Zombie,1116265.16
1018.0,Radioactive Cheese Contamination,Invisible Dog Virus,World Dance Federation,22678.0,Austin,2020-09-14,2021-11-08,Recovered with Allergies,667211.68
6971.0,Alien Flu,Invisible Dog Virus,Banana Safety Commission,49900.0,Austin,2018-05-08,2022-07-15,Recovered with Allergies,1732049.99
1464.0,Alien Flu,Funky Dance Bacteria,Intergalactic Health Organization,42983.0,Boston,2019-07-15,2022-02-13,Banished to Space,1245890.31
9882.0,Invisible Dog Bites,Funky Dance Bacteria,,3594.0,Boston,2020-09-06,2022-03-25,Quarantined,1232691.93
6310.0,Tickling Fever,Wheat Molecule Mutation,World Dance Federation,20211.0,San Francisco,2020-08-23,2021-12-05,Banished to Space,
9079.0,Radioactive Cheese Contamination,,FBI,35023.0,San Francisco,2018-06-03,2022-02-27,Still Dancing,553101.29
5020.0,Dancing Plague,Mutant Chocolate Strain,World Dance Federation,49693.0,San Francisco,2021-02-28,2022-07-04,Quarantined,613196.59
1162.0,Chocolate Poisoning,Alien Spores,NASA,18426.0,Miami,2018-06-07,2022-04-29,Banished to Space,180717.75
1294.0,Dancing Plague,Zombie Virus,World Dance Federation,19717.0,Chicago,2017-04-25,2022-01-23,Banished to Space,491228.79
9770.0,Chocolate Poisoning,Radioactive Cheese,FBI,22450.0,San Francisco,2019-12-22,2022-02-12,Cured,559261.05
8240.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,,4969.0,Boston,2019-07-23,2022-02-23,Turned Into Zombie,122109.48
7844.0,Alien Flu,Alien Spores,WHO,45784.0,Chicago,2019-05-05,2022-03-14,Recovered with Allergies,225077.9
2585.0,Chocolate Poisoning,Radioactive Cheese,PAHO,33809.0,Chicago,2015-01-29,2022-05-15,Quarantined,544154.71
4380.0,Radioactive Cheese Contamination,Funky Dance Bacteria,PAHO,12448.0,San Francisco,2017-11-02,2022-02-10,Mutated,1356118.78
6427.0,Alien Flu,Invisible Dog Virus,PAHO,23418.0,New York,2020-03-21,2022-03-28,Banished to Space,372548.81
7812.0,Dancing Plague,Radioactive Cheese,Banana Safety Commission,22780.0,Chicago,2019-07-09,2022-07-16,Cured,1046089.95
1194.0,Mobile Phone Radiation Syndrome,Zombie Virus,Intergalactic Health Organization,18217.0,Miami,2019-05-16,2021-11-11,Cured,1018267.01
,Zombie Virus Outbreak,Wheat Molecule Mutation,NASA,17618.0,Chicago,2016-04-05,,Quarantined,1668905.97
3931.0,Mobile Phone Radiation Syndrome,Cellular Rays,National Cheese Board,34486.0,Austin,2018-05-29,2022-02-15,Recovered with Allergies,1220281.79
8041.0,Zombie Virus Outbreak,Alien Spores,Banana Safety Commission,6883.0,Boston,2016-05-19,2022-06-09,Recovered with Allergies,1834413.16
6699.0,Alien Flu,Banana Peels,NASA,5874.0,Miami,2020-10-29,2022-04-02,Lost Sense of Humor,
9637.0,Alien Flu,Radioactive Cheese,PAHO,621.0,Chicago,2016-06-21,2021-12-03,Became Infected,55903.7
9271.0,Alien Flu,Cellular Rays,Banana Safety Commission,37118.0,Austin,2014-09-05,2022-03-28,Developed Superpowers,766076.68
5840.0,Alien Flu,Wheat Molecule Mutation,WHO,20172.0,Boston,2019-03-14,2022-07-21,Lost Sense of Humor,1399600.71
8636.0,Gluten Intolerance Pandemic,Zombie Virus,Banana Safety Commission,633.0,Austin,2020-07-06,2022-05-01,Banished to Space,952868.18
2860.0,Tickling Fever,Tickling Bacteria,WHO,22013.0,Austin,2020-10-29,2022-03-01,Banished to Space,841698.75
6561.0,Tickling Fever,Cellular Rays,Banana Safety Commission,37388.0,San Francisco,2017-10-28,2022-07-14,Developed Superpowers,1344733.53
1930.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,Banana Safety Commission,15790.0,Chicago,2017-05-31,2022-01-30,Turned Into Zombie,575037.09
2934.0,Alien Flu,Cellular Rays,NASA,28414.0,Boston,,2022-01-01,Developed Superpowers,
5367.0,Mobile Phone Radiation Syndrome,Radioactive Cheese,NASA,5741.0,Austin,2014-06-16,2021-12-20,Cured,829221.48
3171.0,Alien Flu,Tickling Bacteria,PAHO,10375.0,Austin,2021-02-02,2022-01-15,Quarantined,1264279.53
4294.0,Invisible Dog Bites,Invisible Dog Virus,National Cheese Board,48320.0,Austin,2015-01-07,2022-05-27,Lost Sense of Humor,1964754.87
5747.0,Banana Peel Slip Epidemic,Mutant Chocolate Strain,FBI,24464.0,Austin,2018-02-25,,Developed Superpowers,1572033.06
5392.0,Invisible Dog Bites,Tickling Bacteria,Banana Safety Commission,5176.0,San Francisco,2019-10-29,2022-06-24,Became Infected,1065588.2
6238.0,Dancing Plague,Banana Peels,PAHO,26658.0,San Francisco,,2022-05-30,Developed Superpowers,1719478.24
3834.0,Invisible Dog Bites,Invisible Dog Virus,WHO,3812.0,Boston,2020-07-05,2022-07-02,,1123073.25
8116.0,Gluten Intolerance Pandemic,,FBI,2836.0,Chicago,2020-10-19,2022-02-12,Developed Superpowers,886098.6
3928.0,Mobile Phone Radiation Syndrome,Cellular Rays,National Cheese Board,1592.0,Boston,2019-04-11,2022-03-07,Mutated,1747538.63
8425.0,Alien Flu,,NASA,12863.0,New York,2014-10-31,2022-02-28,Became Infected,59174.94
6750.0,Radioactive Cheese Contamination,Banana Peels,WHO,16467.0,Miami,2019-01-16,2021-11-10,Still Dancing,817894.94
7494.0,,Invisible Dog Virus,National Cheese Board,16344.0,Miami,2021-08-05,2021-10-25,Developed Superpowers,689269.97
2672.0,Invisible Dog Bites,Alien Spores,World Dance Federation,2849.0,Miami,2016-03-11,2022-03-14,Lost Sense of Humor,1429602.18
9190.0,Zombie Virus Outbreak,Cellular Rays,NASA,18289.0,Chicago,2016-04-02,2022-07-20,Banished to Space,30109.5
8444.0,Invisible Dog Bites,Cellular Rays,FBI,,Austin,2015-11-08,2022-01-04,Developed Superpowers,1323400.7
5350.0,Dancing Plague,Tickling Bacteria,National Cheese Board,6973.0,Austin,2019-07-03,2022-06-23,Quarantined,695990.67
2287.0,Chocolate Poisoning,Invisible Dog Virus,National Cheese Board,35503.0,Chicago,2017-06-05,2022-01-30,Mutated,200297.29
7610.0,Mobile Phone Radiation Syndrome,Funky Dance Bacteria,World Dance Federation,6988.0,Chicago,2021-06-18,2021-10-22,Quarantined,1960759.91
9793.0,Gluten Intolerance Pandemic,Zombie Virus,WHO,20935.0,San Francisco,2015-02-06,2022-04-15,,428396.33
7883.0,Mobile Phone Radiation Syndrome,Mutant Chocolate Strain,NASA,29763.0,Miami,2016-07-01,,Turned Into Zombie,701514.21
6187.0,Invisible Dog Bites,,FBI,39389.0,San Francisco,2017-08-31,2022-01-28,Became Infected,418057.95
1130.0,Chocolate Poisoning,Cellular Rays,WHO,43971.0,Chicago,2016-12-04,2021-10-03,Lost Sense of Humor,1325672.44
9044.0,Mobile Phone Radiation Syndrome,Alien Spores,PAHO,4438.0,Austin,2015-08-04,2022-06-11,Quarantined,1566120.05
9302.0,Alien Flu,Alien Spores,Banana Safety Commission,6072.0,San Francisco,2021-06-30,2022-02-07,Quarantined,
3734.0,Banana Peel Slip Epidemic,Funky Dance Bacteria,Intergalactic Health Organization,2677.0,Boston,2018-07-16,2022-03-31,Still Dancing,625441.44
9857.0,Alien Flu,Tickling Bacteria,PAHO,7297.0,San Francisco,2014-08-11,2022-01-14,Turned Into Zombie,1051484.02
2066.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,World Dance Federation,44167.0,Miami,2017-12-30,2022-03-25,Still Dancing,1328198.96
5970.0,Banana Peel Slip Epidemic,Radioactive Cheese,WHO,3693.0,Chicago,2019-03-06,2021-12-10,Recovered with Allergies,1260894.35
4788.0,,,NASA,22625.0,Chicago,2021-05-17,2021-12-08,Banished to Space,
2317.0,Tickling Fever,Invisible Dog Virus,NASA,20196.0,San Francisco,2019-07-11,2021-12-07,Quarantined,1540605.97
1284.0,Chocolate Poisoning,Wheat Molecule Mutation,FBI,22421.0,Austin,2016-12-18,2022-06-20,Developed Superpowers,199459.35
7966.0,Invisible Dog Bites,Mutant Chocolate Strain,National Cheese Board,26757.0,Austin,2020-06-08,2022-01-30,Became Infected,
8794.0,Mobile Phone Radiation Syndrome,Mutant Chocolate Strain,WHO,41616.0,Chicago,2017-05-10,2022-05-14,Lost Sense of Humor,1469970.49
5114.0,Mobile Phone Radiation Syndrome,,Intergalactic Health Organization,26925.0,Boston,2017-07-21,2022-03-31,Turned Into Zombie,
1047.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,National Cheese Board,13842.0,San Francisco,2016-11-02,2022-05-14,Turned Into Zombie,856932.41
7138.0,Zombie Virus Outbreak,Invisible Dog Virus,FBI,28542.0,San Francisco,2018-12-22,2021-12-10,Cured,913603.05
5861.0,Mobile Phone Radiation Syndrome,Invisible Dog Virus,Intergalactic Health Organization,45285.0,New York,2020-02-11,2021-10-07,Became Infected,747191.9
4259.0,Radioactive Cheese Contamination,Banana Peels,WHO,48773.0,Boston,2016-02-02,2021-12-10,Developed Superpowers,1184179.69
8842.0,Chocolate Poisoning,Mutant Chocolate Strain,National Cheese Board,17767.0,San Francisco,2020-08-17,2022-04-29,Turned Into Zombie,650034.46
4415.0,Invisible Dog Bites,Tickling Bacteria,NASA,20442.0,,2014-11-29,2022-06-19,Quarantined,1275446.72
7450.0,Dancing Plague,Alien Spores,Intergalactic Health Organization,18907.0,Austin,2014-05-25,2021-11-14,,409261.05
9759.0,Banana Peel Slip Epidemic,,World Dance Federation,6193.0,Austin,2014-09-12,2022-02-26,Developed Superpowers,1516589.38
7164.0,Alien Flu,Cellular Rays,NASA,36551.0,Boston,2021-08-07,2021-12-19,Banished to Space,1564291.95
8787.0,Chocolate Poisoning,Mutant Chocolate Strain,National Cheese Board,18520.0,Boston,2021-03-27,2022-06-17,Lost Sense of Humor,
5065.0,Dancing Plague,Cellular Rays,,19784.0,Chicago,2019-07-24,2022-03-23,Banished to Space,741800.31
1081.0,,Alien Spores,NASA,13153.0,Chicago,2018-09-04,2022-02-19,Turned Into Zombie,33721.16
4005.0,Tickling Fever,Tickling Bacteria,NASA,47778.0,Miami,2014-07-27,2022-04-09,,247457.28
9408.0,Banana Peel Slip Epidemic,Cellular Rays,Banana Safety Commission,25001.0,Miami,2016-07-06,2022-03-07,Still Dancing,163975.59
,Tickling Fever,Cellular Rays,FBI,2002.0,New York,2018-03-12,2022-05-24,Banished to Space,25359.03
9750.0,Tickling Fever,Banana Peels,Banana Safety Commission,36528.0,San Francisco,2020-09-06,2021-12-21,Mutated,1445828.44
9944.0,Alien Flu,Banana Peels,WHO,46847.0,Boston,2020-10-17,2022-07-26,Became Infected,1912353.19
9785.0,Banana Peel Slip Epidemic,Wheat Molecule Mutation,FBI,30816.0,Boston,2018-06-29,2022-03-23,Still Dancing,27280.69
8068.0,Radioactive Cheese Contamination,Wheat Molecule Mutation,Intergalactic Health Organization,44565.0,Chicago,2014-09-11,2022-02-16,Turned Into Zombie,229817.75
4897.0,Invisible Dog Bites,Alien Spores,National Cheese Board,45290.0,Miami,2016-01-17,2021-12-02,Cured,
8958.0,Zombie Virus Outbreak,Zombie Virus,Banana Safety Commission,24697.0,Austin,2016-05-20,2022-07-05,Still Dancing,1378561.99
9101.0,Invisible Dog Bites,Wheat Molecule Mutation,PAHO,31338.0,,2014-07-29,2021-11-18,Developed Superpowers,812397.24
5648.0,Banana Peel Slip Epidemic,Mutant Chocolate Strain,NASA,1824.0,Miami,2018-11-09,2022-05-02,Banished to Space,1985629.05
,Radioactive Cheese Contamination,Radioactive Cheese,Intergalactic Health Organization,49775.0,San Francisco,2014-10-31,2022-02-01,Developed Superpowers,1149374.58
4586.0,Zombie Virus Outbreak,Zombie Virus,Banana Safety Commission,37482.0,Chicago,2016-03-15,2021-11-04,Recovered with Allergies,1340850.03
4794.0,Mobile Phone Radiation Syndrome,Alien Spores,Banana Safety Commission,5109.0,Austin,2015-04-22,2022-02-15,Recovered with Allergies,1308086.85
6597.0,Invisible Dog Bites,Banana Peels,FBI,39289.0,Miami,2019-08-04,2021-12-24,Still Dancing,449289.75
8050.0,Zombie Virus Outbreak,Invisible Dog Virus,NASA,22547.0,Miami,2018-02-28,,Turned Into Zombie,978808.2
6051.0,,Banana Peels,Intergalactic Health Organization,28333.0,San Francisco,2018-08-15,2022-06-05,Cured,436740.54
1742.0,Mobile Phone Radiation Syndrome,Cellular Rays,Intergalactic Health Organization,47111.0,San Francisco,2018-04-17,2022-05-09,Banished to Space,1021381.74
5544.0,Gluten Intolerance Pandemic,Funky Dance Bacteria,FBI,41162.0,San Francisco,2021-07-13,2022-07-19,Recovered with Allergies,66408.53
5355.0,Chocolate Poisoning,Alien Spores,FBI,41738.0,Austin,2016-05-02,2022-06-05,Cured,767008.56
4608.0,Tickling Fever,Funky Dance Bacteria,WHO,46553.0,New York,2017-11-05,2022-05-01,Developed Superpowers,747559.1
4271.0,Gluten Intolerance Pandemic,Radioactive Cheese,Intergalactic Health Organization,10521.0,Chicago,2016-01-07,2022-07-24,Turned Into Zombie,586803.09
3510.0,Zombie Virus Outbreak,Zombie Virus,Intergalactic Health Organization,9794.0,Austin,2021-07-08,2022-03-06,Became Infected,163061.74
9285.0,,Zombie Virus,National Cheese Board,3713.0,Boston,2020-08-07,2022-01-01,Mutated,1543079.29
7055.0,Radioactive Cheese Contamination,Banana Peels,World Dance Federation,12513.0,Boston,,2022-07-04,Mutated,843807.45
2375.0,Gluten Intolerance Pandemic,Tickling Bacteria,Banana Safety Commission,16428.0,Austin,2017-05-02,2022-03-14,Mutated,1628876.49
3516.0,Invisible Dog Bites,Tickling Bacteria,WHO,23128.0,Chicago,,2021-11-24,,1672275.84
7238.0,Zombie Virus Outbreak,Alien Spores,NASA,38959.0,Austin,,2021-12-20,Became Infected,431126.79
,Radioactive Cheese Contamination,Wheat Molecule Mutation,World Dance Federation,6210.0,San Francisco,2017-01-24,2021-11-02,Developed Superpowers,845553.58
2479.0,Dancing Plague,Zombie Virus,WHO,45354.0,Boston,2021-05-29,2021-12-01,Recovered with Allergies,1443343.14
1954.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,PAHO,27732.0,Boston,2020-04-30,2021-10-01,Cured,1001494.83
9214.0,Mobile Phone Radiation Syndrome,Radioactive Cheese,FBI,25625.0,Chicago,,2022-04-07,Became Infected,1710861.12
4305.0,Gluten Intolerance Pandemic,Tickling Bacteria,Banana Safety Commission,39960.0,San Francisco,2014-09-16,2021-11-11,Cured,1145280.17
2721.0,Mobile Phone Radiation Syndrome,Tickling Bacteria,FBI,30915.0,Chicago,2019-09-20,2022-01-02,Quarantined,1261014.03
6452.0,Dancing Plague,Funky Dance Bacteria,FBI,,San Francisco,2021-07-08,2022-06-30,,1575111.81
3547.0,Radioactive Cheese Contamination,Mutant Chocolate Strain,PAHO,23304.0,Miami,2021-05-22,2022-02-24,Became Infected,248833.1
